NOME SEÇÃO,MARCA,Venda R$,fat_sec,% Seção
SABAO LIQUIDO,TIXAN YPE           ,307961.09,7627658.03,0.04037426544147261
SABAO LIQUIDO,UFE                 ,10568.460000000001,7627658.03,0.0013855445483310427
SABAO LIQUIDO,VANISH+ARIEL        ,10904.94,7627658.03,0.0014296576953384996
SABAO LIQUIDO,VIDA MACIA          ,32663.059999999998,7627658.03,0.004282187254794903
SABAO LIQUIDO,WOOLITE             ,12606.859999999999,7627658.03,0.0016527825382858699
SABAO LIQUIDO,YPE                 ,27582.98,7627658.03,0.003616179421195158
SACO P/LIXO,BRILHUS             ,177279.98,3237076.28,0.05476546261677838
SACO P/LIXO,DOVER ROLL          ,851239.21,3237076.28,0.26296544670859595
SACO P/LIXO,ESFREBOM            ,908.0999999999999,3237076.28,0.0002805309240349443
SACO P/LIXO,FELIZ               ,147382.76,3237076.28,0.045529591289087575
SACO P/LIXO,NOSSO LAR           ,23102.87,3237076.28,0.007136955697565459
SACO P/LIXO,NOSSO ROLL          ,1507061.03,3237076.28,0.46556240868071236
SACO P/LIXO,VERSATIL            ,530102.33,3237076.28,0.16375960408322537
SAPONACEO,CIF                 ,651970.23,1116055.84,0.5841734854413736
SAPONACEO,GIRANDO SOL         ,44008.87,1116055.84,0.039432498287899284
SAPONACEO,MR MUSCULO          ,10063.17,1116055.84,0.009016726259861692
SAPONACEO,RADIUM              ,409985.02999999997,1116055.84,0.36735171781368925
SAPONACEO,RADIUM+LIMPOL       ,28.54,1116055.84,2.5572197176083947e-05
VASSOURA,                    ,17112.52,523753.46,0.03267285336883503
VASSOURA,ALKLIN              ,35120.0,523753.46,0.06705444962597479
VASSOURA,BRILHUS             ,11630.599999999999,523753.46,0.02220624948234232
VASSOURA,CONDOR              ,236537.22,523753.46,0.4516193935978962
VASSOURA,IDB                 ,2803.7,523753.46,0.00535309112802806
VASSOURA,NOVICA              ,220549.41999999998,523753.46,0.4210939627969235
